!SIL sil
<UNK> spn
żal	Z a l
craig	c r a i g
no	n o
interpretacji	i n t e r p r e t a c j i
tysięcy	t i2 sj eo5 c i2
przywitaj	p S i2 v i t a j
oferty	o f e r t i2
dziale	dzj a l e
potykam	p o t i2 k a m
przerąbała	p S e r oc5 b a w a
talent	t a l e n t
później	p u zj n i e j
świętej	sj v i eo5 t e j
uobecniasz	u o b e c n i a S
płytkiej	p w i2 t k i e j
małgorzata	m a w g o Z a t a
czynu	tS i2 n u
która	k t u r a
uderzenie	u d e Z e n i e
spustoszył	s p u s t o S i2 w
sceniczna	s c e n i tS n a
warunkach	v a r u n k a h
graną	g r a n oc5
masło	m a s w o
czymś	tS i2 m sj
liturgicznego	l j t u r g i tS n e g o
toczyło	t o tS i2 w o
akompaniamencie	a k o m p a n i a m e n tsj e
fabryki	f a b r i2 k i
oknie	o k n i e
przesmyki	p S e s m i2 k i
poniósłszy	p o n i u s w S i2
budzić	b u dzj i tsj
chciałbym	h tsj a w b i2 m
drzemie	d Z e m i e
akcją	a k c j oc5
wyznacza	v i2 z n a tS a
patronatem	p a t r o n a t e m
próbowałem	p r u b o v a w e m
biodrami	b i o d r a m i
mycia	m i2 tsj a
kropki	k r o p k i
mamę	m a m e
kartezjuszu	k a r t e z j u S u
serio-	s e r j o
potraw	p o t r a v
przeciw	p S e tsj i v
anti	a n t j
wykształcona	v i2 k S t a w c o n a
puzonie	p u z o n i e
faktu	f a k t u
niesprawiedliwych	n i e s p r a v i e d l j v i2 h
wzywając	v z i2 v a j oc5 c
zanim	z a n i m
łut	w u t
przychodzą	p S i2 h o dz oc5
uproś	u p r o sj
autorskiego	a u t o r s k i e g o
miliona	m i l j o n a
środków	sj r o t k u v
uczyni	u tS i2 n i
spiskowiec	s p i s k o v i e c
piwie	p i v i e
chcąc	h c oc5 c
wzruszyłam	v z r u S i2 w a m
nobla	n o b l a
odpowiadać	o d p o v i a d a tsj
raz	r a z
wyrażalne	v i2 r a Z a l n e
cieszącego	tsj e S oc5 c e g o
służbę	s w u Z b e
połączone	p o w oc5 tS o n e
wyrobionej	v i2 r o b i o n e j
której	k t u r e j
przeciętnej	p S e tsj eo5 t n e j
ważnym	v a Z n i2 m
sztuka	S t u k a
estée	e s t e
polskimi	p o l s k i m i
dłużej	d w u Z e j
atakowanego	a t a k o v a n e g o
i'm	i m
wypowiedzi	v i2 p o v i e dzj i
nieco	n i e c o
nad	n a d
ulubione	u l u b i o n e
podróżować	p o d r u Z o v a tsj
okrucieństwo	o k r u tsj e n~ s t f o
pewności	p e v n o sj tsj i
ubóstwa	u b u s t f a
młodej	m w o d e j
fałsz	f a w S
chciałabyś	h tsj a w a b i2 sj
noszone	n o S o n e
rzadziej	Z a dzj e j
www	v v v
freuda	f r e u d a
jukatan	j u k a t a n
powozem	p o v o z e m
oszczędności	o S tS eo5 d n o sj tsj i
prokuratorem	p r o k u r a t o r e m
zaimplementowane	z a i m p l e m e n t o v a n e
dolegliwości	d o l e g l j v o sj tsj i
wife's	v i f e s
godzinie	g o dzj i n i e
przyjaźń	p S i2 j a zj n~
naturalne	n a t u r a l n e
nogi	n o g i
tradycyjne	t r a d i2 c i2 j n e
sprawne	s p r a v n e
rolę	r o l e
dziewczyny	dzj e v tS i2 n i2
wśród	v sj r u d
schodzę	s h o dz e
saula	s a u l a
zniszczenie	z n i S tS e n i e
grobów	g r o b u v
legat	l e g a t
szerokość	S e r o k o sj tsj
wielkość	v i e l k o sj tsj
odporności	o d p o r n o sj tsj i
wzięto	v zj eo5 t o
wysyłali	v i2 s i2 w a l j
pierwszym	p i e r v S i2 m
największe	n a j v i eo5 k S e
tamtym	t a m t i2 m
filmowym	f i l m o v i2 m
użytkownik	u Z i2 t k o v n i k
więcej	v i eo5 c e j
wodna	v o d n a
instynktów	i n s t i2 n k t u v
przystaje	p S i2 s t a j e
urana	u r a n a
zakopać	z a k o p a tsj
that	t h a t
łyków	w i2 k u v
topniały	t o p n i a w i2
fotooferty	f o t o o f e r t i2
skórze	s k u Z e
ludzkości-	l u dz k o sj tsj i e
stały	s t a w i2
sadzenia	s a dz e n i a
sceny	s c e n i2
załamuje	z a w a m u j e
mocy	m o c i2
krwawnika	k r v a v n i k a
błyskawica	b w i2 s k a v i c a
przy	p S i2
zwierzątka	z v i e Z oc5 t k a
daj	d a j
komisy	k o m i s i2
bojowe	b o j o v e
wzrok	v z r o k
ekonomiczne	e k o n o m i tS n e
odkrywczy	o t k r i2 v tS i2
rozbrzmiewało	r o z b Z m i e v a w o
odwrotnie-	o d v r o t n i e e
udoskonalił	u d o s k o n a l j w
namacalna	n a m a c a l n a
tle	t l e
żoną	Z o n oc5
tłuściejsze	t w u sj tsj e j S e
does	d o e s
dobrodziejstwem	d o b r o dzj e j s t f e m
takiej	t a k i e j
dziewczyna	dzj e v tS i2 n a
księdza	k sj eo5 dz a
łza	w z a
zapowiedzi	z a p o v i e dzj i
programem-	p r o g r a m e m e
świnia	sj v i n i a
pobratymca	p o b r a t i2 m c a
większą	v i eo5 k S oc5
pasuje	p a s u j e
uśmiechnij	u sj m i e h n i j
domowego	d o m o v e g o
abstrakcyjną	a b s t r a k c i2 j n oc5
przepisywano	p S e p i s i2 v a n o
danych	d a n i2 h
także	t a g Z e
zapalonych	z a p a l o n i2 h
święcie	sj v i eo5 tsj e
wyjaśnić	v i2 j a sj n i tsj
orb	o r b
napisane	n a p i s a n e
pola	p o l a
edessy	e d e S i2
mógłby	m u g w b i2
mussoliniego	m u S o l j n i e g o
własnych	v w a s n i2 h
inni	i n n i
robić	r o b i tsj
bo	b o
strojach	s t r o j a h
pomorską	p o m o r s k oc5
mgnienie	m g n i e n i e
wykorzystywane	v i2 k o Z i2 s t i2 v a n e
nadzieją	n a dzj e j oc5
wykonaj	v i2 k o n a j
widziałem	v i dzj a w e m
kościelną	k o sj tsj e l n oc5
prześpię	p S e sj p i e
wielkiego	v i e l k i e g o
lektura	l e k t u r a
astronom	a s t r o n o m
zlicza	z l j tS a
książka	k tsj oc5 Z k a
podstawówce	p o d s t a v u v c e
wspaniałomyślność	v s p a n i a w o m i2 sj l n o sj tsj
połowy	p o w o v i2
dodatkową	d o d a t k o v oc5
nadać	n a d a tsj
sympatia	s i2 m p a t j a
niechęci	n i e h eo5 tsj i
konieczności	k o n i e tS n o sj tsj i
dramat	d r a m a t
księcia	k sj eo5 tsj a
klatkę	k l a t k e
niebios	n i e b i o s
jeżeli	j e Z e l j
piersi	p i e r sj i
jeden	j e d e n
ideologiczną	i d e o l o g i tS n oc5
kreona	k r e o n a
zmieścić	z m i e sj tsj i tsj
dożywocie	d o Z i2 v o tsj e
opowiada	o p o v i a d a
gołębia	g o w eo5 b i a
kółkach	k u w k a h
prezydent	p r e z i2 d e n t
manifestować	m a n i f e s t o v a tsj
łuk	w u k
błyskawice	b w i2 s k a v i c e
zakończenie	z a k o n~ tS e n i e
rzeź	Z e zj
unikam	u n i k a m
akcesoria	a k c e s o r j a
niezbędnym	n i e z b eo5 d n i2 m
słowa	s w o v a
wiódł	v i u d w
