# gunzip -c exp/mono/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/mono/graph 
# Started at Fri Jun 19 02:22:26 +03 2020
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 10.0% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 10.0% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 90.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.8,14) frames.
At utterance begin, sil accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, l_B accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,11) frames.
At utterance begin, z_B accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.0,14) frames.
At utterance begin, m_B accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,7) frames.
At utterance begin, v_S accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,6) frames.
At utterance begin, t_B accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,4) frames.
At utterance begin, j_B accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,7) frames.
At utterance begin, i_B accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,11) frames.
At utterance begin, i_S accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.0,14) frames.
At utterance begin, a_B accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,5) frames.
At utterance end, nonsilence accounts for 90.0% of phone occurrences, with duration (median, mean, 95-percentile) is (15,18.7,28) frames.
At utterance end, m_E accounts for 30.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,17.0,18) frames.
At utterance end, e_E accounts for 20.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.5,12) frames.
At utterance end, sil accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.0,5) frames.
At utterance end, o_E accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.0,15) frames.
At utterance end, j_E accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.0,21) frames.
At utterance end, i_E accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.0,21) frames.
At utterance end, s_E accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (33,33.0,33) frames.
Overall, nonsilence accounts for 95.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,17) frames.
Overall, a_I accounts for 7.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.8,15) frames.
Overall, e_I accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,14) frames.
Overall, i_I accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,13) frames.
Overall, sil accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (32,31.0,64) frames.
Overall, o_I accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.7,14) frames.
Overall, n_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,12) frames.
Overall, i2_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,12) frames.
Overall, e_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.7,12) frames.
Overall, k_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.2,13) frames.
Overall, u_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,10) frames.
Overall, t_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.2,14) frames.
Overall, m_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.2,12) frames.
Overall, p_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.9,13) frames.
Overall, v_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.9,11) frames.
Overall, r_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,10) frames.
Overall, l_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,14) frames.
Overall, o_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.7,17) frames.
