# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Jun 19 02:22:16 +03 2020
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 8.90658942795% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 35.7611070648% of the time at utterance end.  This may not be optimal.
At utterance begin, spn_S accounts for 90.9% of phone occurrences, with duration (median, mean, 95-percentile) is (32,37.0,82) frames.
At utterance begin, sil accounts for 8.9% of phone occurrences, with duration (median, mean, 95-percentile) is (15,20.2,47) frames.
At utterance end, spn_S accounts for 64.2% of phone occurrences, with duration (median, mean, 95-percentile) is (58,60.6,111) frames.
At utterance end, sil accounts for 35.8% of phone occurrences, with duration (median, mean, 95-percentile) is (26,31.9,63) frames.
Overall, nonsilence accounts for 86.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,14) frames.
Overall, spn_S accounts for 7.3% of phone occurrences, with duration (median, mean, 95-percentile) is (40,42.9,92) frames.
Overall, sil accounts for 6.6% of phone occurrences, with duration (median, mean, 95-percentile) is (23,30.2,75) frames.
Overall, a_I accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
Overall, i_I accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,10) frames.
Overall, e_I accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.3,11) frames.
Overall, o_I accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,13) frames.
Overall, n_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
Overall, e_E accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,11) frames.
Overall, r_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,9) frames.
Overall, i2_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,10) frames.
Overall, t_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,12) frames.
Overall, v_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,10) frames.
Overall, k_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.7,12) frames.
Overall, u_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,13) frames.
Overall, p_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,13) frames.
Overall, a_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,13) frames.
Overall, j_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,14) frames.
Overall, n_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,12) frames.
Overall, s_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,16) frames.
Overall, o_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,12) frames.
Overall, l_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
Overall, i2_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,12) frames.
Overall, w_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,17) frames.
Overall, d_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,11) frames.
Overall, S_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,16) frames.
Overall, m_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.7,12) frames.
Overall, v_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,12) frames.
Overall, g_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,11) frames.
Overall, b_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.6,11) frames.
Overall, s_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.9,18) frames.
Overall, i_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,16) frames.
Overall, z_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.9,15) frames.
Overall, p_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.5,12) frames.
Overall, m_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,12) frames.
Overall, t_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.8,13) frames.
Overall, m_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,15) frames.
Overall, Z_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.9,14) frames.
Overall, j_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,16) frames.
Overall, c_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,19) frames.
Overall, d_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,12) frames.
Overall, oc5_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,17) frames.
Overall, tsj_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,17) frames.
Overall, tS_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,17) frames.
Overall, k_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,13) frames.
Overall, o_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,15) frames.
Overall, sj_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,18) frames.
Overall, sj_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,18) frames.
Overall, z_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,14) frames.
Overall, j_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,13) frames.
Overall, i_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,15) frames.
Overall, v_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,13) frames.
Overall, tsj_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,18) frames.
Overall, h_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,17) frames.
Overall, b_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.9,14) frames.
Overall, oc5_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,18) frames.
The optional-silence phone sil occupies 17.3% of frames overall 
Limiting the stats to the 85.2% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 17.6% of frames.
Assuming 100 frames per second, the alignments represent 2.2 hours of data, or 1.8 hours if sil frames are excluded.
